iter	Passed	Remaining
238	1855	5908
239	1862	5897
240	1870	5889
241	1876	5878
242	1883	5866
243	1889	5854
244	1895	5842
245	1904	5836
246	1910	5824
247	1918	5818
248	1926	5809
249	1932	5798
250	1939	5787
251	1945	5775
252	1953	5769
253	1960	5759
254	1968	5752
255	1975	5740
256	1982	5732
257	1989	5721
258	1997	5714
259	2003	5702
260	2010	5692
261	2018	5685
262	2026	5678
263	2036	5677
264	2044	5669
265	2054	5669
266	2062	5662
267	2071	5657
268	2079	5649
269	2087	5643
270	2094	5634
271	2103	5630
272	2111	5624
273	2121	5620
274	2129	5614
275	2138	5610
276	2149	5609
277	2157	5602
278	2166	5597
279	2173	5589
280	2182	5585
281	2191	5578
282	2200	5575
283	2208	5568
284	2216	5560
285	2224	5554
286	2231	5544
287	2240	5539
288	2247	5529
289	2257	5526
290	2265	5519
291	2275	5517
292	2283	5509
293	2292	5505
294	2299	5495
295	2309	5493
296	2317	5486
297	2326	5481
298	2338	5482
299	2347	5476
300	2356	5472
301	2364	5465
302	2372	5456
303	2378	5445
304	2386	5438
305	2392	5426
306	2400	5418
307	2406	5407
308	2413	5397
309	2418	5383
310	2425	5372
311	2432	5363
312	2439	5354
313	2447	5346
314	2453	5334
315	2458	5322
316	2466	5314
317	2473	5305
318	2481	5297
319	2487	5285
320	2496	5280
321	2503	5270
322	2509	5260
323	2516	5251
324	2524	5242
325	2533	5238
326	2539	5227
327	2555	5235
328	2564	5230
329	2571	5221
330	2580	5215
331	2587	5205
332	2594	5197
333	2601	5187
334	2609	5179
335	2617	5172
336	2625	5164
337	2632	5156
338	2640	5147
339	2650	5144
340	2659	5138
341	2666	5129
342	2675	5125
343	2682	5115
344	2692	5110
345	2699	5102
346	2711	5102
347	2719	5094
348	2726	5086
349	2733	5076
350	2740	5067
351	2747	5057
352	2754	5048
353	2762	5041
354	2774	5040
355	2781	5032
356	2792	5029
357	2800	5022
358	2809	5015
359	2817	5008
360	2826	5003
361	2835	4997
362	2843	4989
363	2854	4988
364	2861	4978
365	2871	4974
366	2878	4964
367	2888	4961
368	2896	4953
369	2905	4946
370	2912	4937
371	2921	4932
372	2930	4926
373	2938	4918
374	2947	4912
375	2955	4904
376	2964	4899
377	2971	4888
378	2981	4885
379	2988	4875
380	2997	4870
381	3005	4862
382	3016	4859
383	3023	4850
384	3032	4843
385	3039	4834
386	3049	4830
387	3057	4822
388	3065	4815
389	3072	4806
390	3082	4800
391	3089	4792
392	3098	4785
393	3106	4778
394	3115	4771
395	3124	4765
396	3130	4755
397	3140	4750
398	3147	4740
399	3155	4733
400	3163	4724
401	3172	4719
402	3180	4711
403	3189	4705
404	3195	4695
405	3206	4690
406	3212	4680
407	3222	4675
408	3228	4665
409	3238	4660
410	3245	4651
411	3252	4642
412	3259	4632
413	3266	4624
414	3273	4614
415	3282	4607
416	3288	4597
417	3295	4588
418	3302	4579
419	3309	4570
420	3319	4565
421	3326	4555
422	3334	4548
423	3340	4538
424	3348	4530
425	3354	4520
426	3361	4510
427	3370	4504
428	3376	4493
429	3384	4486
430	3391	4477
431	3399	4469
432	3405	4459
433	3413	4451
434	3419	4441
435	3426	4431
436	3433	4423
437	3439	4412
438	3448	4406
439	3454	4396
440	3462	4388
441	3468	4378
442	3476	4371
443	3483	4361
444	3489	4352
445	3496	4343
446	3503	4334
447	3511	4326
448	3517	4316
449	3525	4308
450	3530	4298
451	3550	4304
452	3557	4295
453	3563	4285
454	3569	4275
455	3577	4267
456	3583	4257
457	3590	4249
458	3598	4241
459	3607	4235
460	3615	4226
461	3624	4221
462	3632	4213
463	3641	4206
464	3648	4197
465	3656	4189
466	3664	4182
467	3673	4175
468	3680	4166
469	3689	4159
470	3696	4151
471	3705	4145
472	3712	4135
473	3719	4127
474	3726	4118
475	3733	4110
476	3740	4101
477	3748	4093
478	3755	4084
479	3762	4075
480	3770	4068
481	3777	4059
482	3785	4051
483	3792	4042
484	3799	4034
485	3807	4026
486	3814	4017
487	3821	4009
488	3829	4001
489	3837	3994
490	3844	3984
491	3853	3978
492	3860	3969
493	3868	3962
494	3874	3953
495	3883	3946
496	3889	3936
497	3897	3928
498	3904	3920
499	3911	3911
500	3919	3904
501	3925	3894
502	3934	3887
503	3941	3878
504	3949	3871
505	3956	3862
506	3963	3853
507	3969	3844
508	3976	3835
509	3983	3827
510	3989	3818
511	3997	3810
512	4005	3802
513	4014	3796
514	4021	3786
515	4028	3779
516	4036	3771
517	4044	3763
518	4051	3755
519	4060	3748
520	4068	3740
521	4076	3733
522	4084	3725
523	4093	3718
524	4101	3710
525	4109	3703
526	4116	3695
527	4125	3687
528	4132	3679
529	4140	3671
530	4147	3663
531	4155	3655
532	4162	3647
533	4169	3638
534	4178	3631
535	4185	3623
536	4193	3615
537	4200	3607
538	4209	3600
539	4218	3593
540	4225	3585
541	4233	3577
542	4241	3569
543	4248	3561
544	4256	3553
545	4261	3543
546	4268	3535
547	4275	3526
548	4281	3517
549	4288	3509
550	4295	3499
551	4302	3491
552	4309	3483
553	4314	3473
554	4321	3465
555	4328	3456
556	4334	3447
557	4341	3438
558	4346	3428
559	4353	3420
560	4359	3411
561	4367	3403
562	4373	3394
563	4379	3385
564	4387	3377
565	4393	3369
566	4401	3361
567	4408	3352
568	4414	3344
569	4420	3334
570	4427	3326
571	4435	3318
572	4441	3309
573	4447	3300
574	4453	3292
575	4460	3283
576	4467	3274
577	4473	3266
578	4480	3257
579	4486	3248
580	4492	3239
581	4499	3231
582	4505	3222
583	4511	3213
584	4518	3205
585	4524	3196
586	4532	3188
587	4538	3180
588	4544	3171
589	4551	3162
590	4557	3153
591	4564	3145
592	4570	3136
593	4576	3128
594	4582	3119
595	4588	3110
596	4596	3102
597	4602	3093
598	4608	3084
599	4614	3076
600	4621	3067
601	4627	3059
602	4633	3050
603	4639	3041
604	4646	3033
605	4652	3025
606	4659	3016
607	4665	3007
608	4670	2998
609	4676	2990
610	4682	2981
611	4689	2973
612	4695	2964
613	4702	2956
614	4709	2948
615	4716	2940
616	4723	2932
617	4730	2923
618	4738	2916
619	4745	2908
620	4751	2899
621	4758	2891
622	4764	2883
623	4771	2875
624	4777	2866
625	4785	2858
626	4791	2850
627	4799	2843
628	4805	2834
629	4811	2825
630	4819	2818
631	4826	2810
632	4832	2802
633	4839	2793
634	4846	2785
635	4852	2777
636	4859	2769
637	4867	2761
638	4872	2752
639	4879	2744
640	4886	2736
641	4892	2728
642	4899	2720
643	4905	2711
644	4912	2703
645	4919	2695
646	4926	2687
647	4932	2679
648	4939	2671
649	4945	2663
650	4951	2654
651	4957	2646
652	4963	2637
653	4970	2629
654	4978	2622
655	4986	2614
656	4993	2606
657	5001	2599
658	5008	2591
659	5016	2584
660	5022	2576
661	5032	2569
662	5040	2562
663	5049	2554
664	5056	2547
665	5065	2540
666	5072	2532
667	5081	2525
668	5088	2517
669	5095	2509
670	5101	2501
671	5109	2493
672	5115	2485
673	5122	2477
674	5128	2469
675	5134	2460
676	5141	2453
677	5147	2444
678	5154	2436
679	5160	2428
680	5167	2420
681	5174	2412
682	5180	2404
683	5187	2396
684	5193	2388
685	5200	2380
686	5206	2372
687	5213	2364
688	5220	2356
689	5227	2348
690	5233	2340
691	5240	2332
692	5246	2324
693	5252	2315
694	5258	2307
695	5264	2299
696	5271	2291
697	5277	2283
698	5283	2274
699	5290	2267
700	5296	2259
701	5304	2251
702	5310	2243
703	5317	2235
704	5323	2227
705	5329	2219
706	5336	2211
707	5343	2203
708	5350	2196
709	5356	2187
710	5362	2179
711	5369	2172
712	5376	2164
713	5382	2155
714	5388	2147
715	5394	2139
716	5401	2132
717	5407	2123
718	5413	2115
719	5419	2107
720	5426	2099
721	5433	2092
722	5441	2084
723	5448	2077
724	5454	2069
725	5460	2060
726	5467	2053
727	5473	2045
728	5480	2037
729	5487	2029
730	5493	2021
731	5499	2013
732	5506	2005
733	5512	1997
734	5519	1989
735	5525	1981
736	5533	1974
737	5540	1966
738	5547	1959
739	5554	1951
740	5560	1943
741	5567	1935
742	5573	1927
743	5580	1920
744	5586	1912
745	5593	1904
746	5601	1897
747	5607	1889
748	5616	1882
749	5622	1874
750	5629	1866
751	5635	1858
752	5643	1851
753	5650	1843
754	5657	1835
755	5663	1827
756	5669	1819
757	5676	1812
758	5682	1804
759	5689	1796
760	5696	1788
761	5702	1781
762	5709	1773
763	5715	1765
764	5722	1757
765	5728	1750
766	5734	1742
767	5742	1734
768	5748	1726
769	5754	1718
770	5761	1711
771	5766	1703
772	5774	1695
773	5779	1687
774	5785	1679
775	5793	1672
776	5799	1664
777	5806	1656
778	5812	1649
779	5819	1641
780	5826	1633
781	5833	1626
782	5839	1618
783	5846	1610
784	5852	1602
785	5858	1595
786	5864	1587
787	5871	1579
788	5878	1571
789	5884	1564
790	5892	1556
791	5899	1549
792	5908	1542
793	5916	1535
794	5925	1527
795	5933	1520
796	5940	1513
797	5946	1505
798	5955	1498
799	5962	1490
800	5972	1483
801	5980	1476
802	5988	1469
803	5996	1461
804	6003	1454
805	6010	1446
806	6018	1439
807	6026	1432
808	6034	1424
809	6042	1417
810	6049	1409
811	6057	1402
812	6064	1394
813	6071	1387
814	6081	1380
815	6089	1373
816	6097	1365
817	6105	1358
818	6113	1351
819	6121	1343
820	6128	1336
821	6136	1328
822	6144	1321
823	6151	1313
824	6157	1306
825	6165	1298
826	6172	1291
827	6180	1283
828	6187	1276
829	6196	1269
830	6204	1261
831	6212	1254
832	6219	1246
833	6228	1239
834	6237	1232
835	6244	1225
836	6252	1217
837	6260	1210
838	6267	1202
839	6276	1195
840	6284	1188
841	6291	1180
842	6299	1173
843	6307	1165
844	6315	1158
845	6324	1151
846	6331	1143
847	6339	1136
848	6346	1128
849	6354	1121
850	6362	1113
851	6369	1106
852	6377	1099
853	6384	1091
854	6392	1084
855	6400	1076
856	6408	1069
857	6415	1061
858	6424	1054
859	6433	1047
860	6441	1039
861	6448	1032
862	6456	1025
863	6464	1017
864	6472	1010
865	6479	1002
866	6487	995
867	6494	987
868	6501	980
869	6510	972
870	6516	965
871	6524	957
872	6531	950
873	6539	942
874	6547	935
875	6556	928
876	6563	920
877	6572	913
878	6579	905
879	6587	898
880	6594	890
881	6603	883
882	6610	875
883	6619	868
884	6626	861
885	6634	853
886	6641	846
887	6651	838
888	6658	831
889	6667	824
890	6675	816
891	6683	809
892	6690	801
893	6700	794
894	6707	786
895	6715	779
896	6723	771
897	6730	764
898	6737	756
899	6744	749
900	6752	741
901	6760	734
902	6768	727
903	6776	719
904	6785	712
905	6793	704
906	6801	697
907	6809	689
908	6817	682
909	6824	674
910	6832	667
911	6839	659
912	6847	652
913	6855	645
914	6863	637
915	6870	630
916	6878	622
917	6885	615
918	6893	607
919	6901	600
920	6909	592
921	6917	585
922	6924	577
923	6931	570
924	6939	562
925	6947	555
926	6954	547
927	6962	540
928	6969	532
929	6977	525
930	6984	517
931	6993	510
932	7001	502
933	7009	495
934	7016	487
935	7023	480
936	7031	472
937	7039	465
938	7047	457
939	7055	450
940	7063	442
941	7070	435
942	7077	427
943	7086	420
944	7094	412
945	7102	405
946	7111	398
947	7121	390
948	7129	383
949	7137	375
950	7144	368
951	7152	360
952	7159	353
953	7168	345
954	7174	338
955	7181	330
956	7190	323
957	7198	315
958	7206	308
959	7213	300
960	7222	293
961	7229	285
962	7237	278
963	7244	270
964	7252	263
965	7259	255
966	7268	248
967	7274	240
968	7282	232
969	7290	225
970	7298	217
971	7307	210
972	7315	203
973	7322	195
974	7331	187
975	7338	180
976	7345	172
977	7353	165
978	7361	157
979	7369	150
980	7377	142
981	7385	135
982	7393	127
983	7401	120
984	7409	112
985	7417	105
986	7423	97
987	7430	90
988	7438	82
989	7445	75
990	7452	67
991	7460	60
992	7467	52
993	7476	45
994	7484	37
995	7492	30
996	7499	22
997	7507	15
998	7514	7
999	7523	0
